DATE,CPALTT01USQ657N
1956-01-01,0.6161417073338970
1957-01-01,0.7488397998057130
1958-01-01,0.4967182651423815
1959-01-01,0.4011527307100710
1960-01-01,0.3388918787694443
1961-01-01,0.1676297053897795
1962-01-01,0.3317406314498875
1963-01-01,0.3545995646991825
1964-01-01,0.2692534940371055
1965-01-01,0.4516596466330725
1966-01-01,0.9068294228107555
1967-01-01,0.6775426419187595
1968-01-01,1.1630748290667280
1969-01-01,1.4512815518879625
1970-01-01,1.3717110784570675
1971-01-01,0.8521503175552145
1972-01-01,0.8634941354196735
1973-01-01,2.0036272426535850
1974-01-01,2.9197701969386875
1975-01-01,1.7652876537808125
1976-01-01,1.2442015856207240
1977-01-01,1.6127705009633025
1978-01-01,2.1651768353707050
1979-01-01,3.0258784100279725
1980-01-01,3.0244536103690325
1981-01-01,2.3073669178045825
1982-01-01,1.1128214272056540
1983-01-01,0.8167532180299211
1984-01-01,1.0062544573745925
1985-01-01,0.8673569576895103
1986-01-01,0.3202125776732175
1987-01-01,1.1063471032983800
1988-01-01,1.0597255468783443
1989-01-01,1.1307652598206478
1990-01-01,1.5212619209700650
1991-01-01,0.7397335445791695
1992-01-01,0.7539696098710563
1993-01-01,0.6745246644079905
1994-01-01,0.6567701611817200
1995-01-01,0.6564401629775163
1996-01-01,0.7883150047725633
1997-01-01,0.4647514127574400
1998-01-01,0.3848963478236490
1999-01-01,0.6494877124217485
2000-01-01,0.8461812554813890
2001-01-01,0.4628198372072178
2002-01-01,0.5460299037460715
2003-01-01,0.4710841792169108
2004-01-01,0.8212750104624293
2005-01-01,0.9227934355448965
2006-01-01,0.4849067291448903
2007-01-01,0.9809106850445230
2008-01-01,0.4166610537404750
2009-01-01,0.3607324581336355
2010-01-01,0.3161635060944645
2011-01-01,0.8161488702814125
2012-01-01,0.4696347528952322
2013-01-01,0.3075555457087748
2014-01-01,0.3133536078165765
