GeoFips,GeoName,LineCode,Description,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
04000,Arizona,2,Population (persons) 1/,430000,434000,429000,426000,426000,428000,434000,443000,453000,466000,484000,499000,492000,530000,661000,618000,591000,618000,652000,690000,714000,756000,785000,842000,894000,933000,987000,1053000,1125000,1193000,1261000,1321000,1407000,1471000,1521000,1556000,1584000,1614000,1646000,1682000,1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6408208,6468732,6553262,6630799,6728783,6828065
04000,Arizona,3,Per capita personal income (dollars) 2/,598,518,430,321,309,362,416,462,505,479,491,506,649,953,1045,1076,1149,1132,1199,1345,1332,1398,1668,1769,1769,1758,1823,1927,1973,1977,2062,2145,2194,2258,2297,2408,2511,2687,2867,3219,3633,4000,4328,4681,5110,5504,5757,6244,6789,7720,8674,9629,10718,11033,11799,12943,13838,14598,15195,15916,16699,17204,17573,18129,18800,19755,20594,21572,22680,24072,24785,26232,26766,27154,28166,29978,32288,34705,35751,35717,33746,33559,34912,36046,36524,38006,39156
05000,Arkansas,1,Personal income (thousands of dollars),560157,416278,381638,278409,283060,341705,386004,460151,481582,439122,479153,502002,676326,973768,1051339,1236417,1324089,1372264,1358169,1611219,1512797,1624744,1848530,1921979,1935830,1914544,2080765,2156658,2226162,2319693,2532765,2557904,2781764,2973098,3149260,3418008,3606460,4006747,4249157,4595196,5129597,5635770,6273038,7082421,8381299,9361505,10317199,11388677,12666674,14682928,16089892,17371177,19657239,20676166,21988073,24474975,26082631,27399821,28476005,30546100,32776869,34487482,36434402,39744696,41722523,44297617,47104707,50012919,52409055,55647128,57896065,61029036,64205009,65583321,69393101,73711023,77736622,82701324,88227922,92390681,90880167,92913782,99296630,106664517,106466207,111500761,113923539
05000,Arkansas,2,Population (persons) 1/,1852000,1859000,1848000,1836000,1854000,1878000,1890000,1892000,1903000,1928000,1948000,1955000,1966000,1983000,1839000,1771000,1758000,1805000,1835000,1825000,1844000,1908000,1901000,1838000,1780000,1734000,1725000,1704000,1733000,1726000,1756000,1789000,1806000,1853000,1875000,1897000,1894000,1899000,1901000,1902000,1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2922394,2938538,2949499,2957957,2966835,2978204
05000,Arkansas,3,Per capita personal income (dollars) 2/,302,224,207,152,153,182,204,243,253,228,246,257,344,491,572,698,753,760,740,883,820,852,972,1046,1088,1104,1206,1266,1285,1344,1442,1430,1540,1604,1680,1802,1904,2110,2235,2416,2681,2920,3181,3509,4072,4457,4780,5251,5739,6552,7091,7590,8572,9012,9536,10551,11208,11750,12157,13039,13969,14635,15288,16451,16986,17762,18579,19444,20149,21189,21832,22784,23854,24237,25467,26807,27952,29308,30972,32141,31372,31794,33791,36164,35993,37582,38252
06000,California,1,Personal income (thousands of dollars),5494405,5078934,4387152,3440813,3276354,3665944,4108634,4924301,5233067,5190461,5364362,5949822,7522670,10347944,13704031,14967541,15588877,16607451,17104898,18180455,18503349,20678634,24007508,26676487,28602210,29480656,32405734,35466051,38114338,40102616,43838806,46333262,49147467,52938918,56604947,61292036,65445747,71123305,76481751,83786947,92173937,99440680,106005497,116355563,127636686,142322040,157355533,174492789,193587811,220523113,250027116,283852405,318833657,340836724,368675480,409989187,443346410,476271961,513636748,558066083,601183746,643954932,665001713,701387002,718212128,740997699,779582479,828822422,881903762,957671894,1020864222,1124844038,1160964629,1182174837,1242098548,1335871248,1415940822,1524919622,1583851546,1616530437,1560649328,1617134250,1727433579,1838567162,1861956514,1977923740,2103669473
06000,California,2,Population (persons) 1/,5531000,5711000,5824000,5894000,5963000,6060000,6175000,6341000,6528000,6656000,6785000,6950000,7269000,7814000,8623000,9261000,9619000,9727000,9912000,10064000,10337000,10677000,11134000,11635000,12251000,12746000,13133000,13713000,14264000,14880000,15467000,15870000,16497000,17072000,17668000,18151000,18585000,18858000,19176000,19394000,19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37334079,37700034,38056055,38414128,38792291,39144818
06000,California,3,Per capita personal income (dollars) 2/,993,889,753,584,549,605,665,777,802,780,791,856,1035,1324,1589,1616,1621,1707,1726,1806,1790,1937,2156,2293,2335,2313,2468,2586,2672,2695,2834,2920,2979,3101,3204,3377,3521,3772,3988,4320,4676,4966,5210,5653,6116,6722,7306,7955,8662,9656,10752,11926,13128,13732,14538,15864,16767,17573,18491,19606,20576,21494,21824,22644,22964,23535,24595,25885,27147,29031,30474,33095,33671,33901,35234,37551,39521,42334,43692,44162,42224,43315,45820,48312,48471,50988,53741
08000,Colorado,1,Personal income (thousands of dollars),635288,596454,498097,379940,378119,399173,479858,590209,589259,564357,581245,619492,735820,1038255,1228025,1221172,1349989,1473239,1696758,1865969,1897217,2078836,2471192,2666223,2693070,2773107,3018631,3331238,3656802,3744005,4019322,4302589,4633818,4886249,5117264,5413181,5780431,6219573,6707143,7449409,8362617,9447721,10654052,12056548,13774616,15431087,17007525,18711069,20872126,24076949,27639927,31667476,36459220,39984337,42968979,46898660,49560424,51512722,53462768,56574733,61209049,64865685,68711303,74732485,80953444,87221703,94817972,102272385,110052113,122141316,132118052,147226744,154592304,156288493,159102588,164456627,176129181,189492643,201743269,208608111,198082468,201569924,219860916,234005901,246648165,266534568,277731754
08000,Colorado,2,Population (persons) 1/,1008000,1040000,1056000,1066000,1071000,1075000,1078000,1090000,1104000,1112000,1120000,1130000,1124000,1133000,1151000,1124000,1113000,1196000,1236000,1263000,1295000,1325000,1326000,1365000,1431000,1493000,1546000,1625000,1664000,1667000,1710000,1769000,1844000,1899000,1936000,1970000,1985000,2007000,2053000,2120000,2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048254,5119480,5191731,5271132,5355588,5456574
08000,Colorado,3,Per capita personal income (dollars) 2/,630,574,472,356,353,371,445,541,534,508,519,548,655,916,1067,1086,1213,1232,1373,1477,1465,1569,1864,1953,1882,1857,1953,2050,2198,2246,2350,2432,2513,2573,2643,2748,2912,3099,3267,3514,3861,4248,4625,5014,5519,6072,6576,7108,7742,8702,9701,10887,12243,13060,13712,14795,15446,15912,16397,17342,18685,19611,20286,21377,22402,23420,24778,26090,27388,29670,31263,34026,34931,34805,35132,35947,38025,40143,41996,42663,39838,39929,42946,45073,46792,49768,50899
09000,Connecticut,1,Personal income (thousands of dollars),1640024,1494293,1312590,1026232,969366,1090354,1190750,1361909,1458869,1311754,1436330,1589203,2029372,2587325,2911680,2921230,2837079,3060592,3390306,3504895,3414883,3862330,4437134,4850281,5259471,5362905,5778919,6315039,6733835,6527864,6974994,7266881,7693260,8218293,8675920,9318293,10018325,11007189,12063735,12816784,14693141,15678607,16511886,17800682,19365980,21132528,22706406,24501978,27001855,30063404,33793836,38457972,43173687,46616812,49858707,55856174,59950829,64560716,70594722,77854455,84525768,86968737,87599501,94263265,97514376,100067779,105446951,110588370,117944101,127447466,134862911,147686418,155411804,155702576,158426538,166799800,176139627,190614991,204296045,217101744,215234464,222404940,229211506,233710888,230614799,239829273,246709339
09000,Connecticut,2,Population (persons) 1/,1594000,1613000,1628000,1637000,1642000,1650000,1666000,1672000,1678000,1684000,1696000,1708000,1751000,1798000,1797000,1801000,1782000,1911000,1969000,2014000,2032000,2016000,2028000,2081000,2168000,2249000,2300000,2316000,2359000,2446000,2523000,2544000,2586000,2647000,2727000,2798000,2857000,2903000,2935000,2964000,3000000,3038782,3061448,3069617,3069140,3075784,3084726,3085984,3088729,3094839,3099907,3113174,3128837,3139014,3162355,3180014,3201131,3223741,3247290,3271954,3283404,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579717,3589759,3593541,3597168,3594762,3590886
09000,Connecticut,3,Per capita personal income (dollars) 2/,1029,926,806,627,590,661,715,815,869,779,847,930,1159,1439,1620,1622,1592,1602,1722,1740,1681,1916,2188,2331,2426,2385,2513,2727,2855,2669,2765,2856,2975,3105,3181,3330,3507,3792,4110,4324,4898,5160,5393,5799,6310,6871,7361,7940,8742,9714,10902,12353,13799,14851,15766,17565,18728,20027,21740,23794,25743,26418,26522,28558,29468,30176,31722,33143,35214,37870,39825,43287,45272,45017,45468,47710,50226,54191,57919,61232,60428,62129,63852,65036,64110,66716,68704
10000,Delaware,1,Personal income (thousands of dollars),243300,204960,187585,144734,140270,161668,177753,220417,242467,205682,238411,278904,325034,368251,418722,436880,443560,473835,513099,525480,571135,669777,720012,773312,830174,861395,994216,1146463,1154808,1187445,1240584,1302373,1344573,1427126,1528141,1652820,1815568,1910996,2035756,2220336,2445633,2606227,2852424,3133305,3467373,3755784,4049435,4413098,4749267,5211883,5722077,6428975,7076416,7625571,8163545,8995632,9806074,10431043,11269736,12318653,13716907,14403323,15238119,15927657,16547403,17201929,18222617,19495317,20362927,22627811,24409278,27074544,29773066,30513129,31236735,32401002,33357539,35524883,36468376,36974073,36843966,36971906,39687435,39953950,40565882,42384341,45057962
10000,Delaware,2,Population (persons) 1/,236000,239000,242000,245000,248000,250000,252000,253000,254000,257000,263000,269000,276000,281000,281000,286000,286000,300000,306000,312000,316000,321000,331000,341000,351000,368000,389000,408000,426000,433000,441000,449000,461000,469000,483000,497000,507000,516000,525000,534000,540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899791,907916,917099,925353,935968,945934
10000,Delaware,3,Per capita personal income (dollars) 2/,1031,858,775,591,566,647,705,871,955,800,907,1037,1178,1311,1490,1528,1551,1579,1677,1684,1807,2087,2175,2268,2365,2341,2556,2810,2711,2742,2813,2901,2917,3043,3164,3326,3581,3703,3878,4158,4529,4736,5047,5460,5988,6441,6878,7445,7984,8713,9555,10806,11874,12727,13483,14709,15860,16622,17693,19021,20838,21511,22308,22920,23426,23973,24972,26310,27097,29643,31496,34430,37417,37850,38187,39000,39469,41343,41834,41832,41317,41089,43713,43566,43838,45284,47633
11000,District of Columbia,1,Personal income (thousands of dollars),639233,641296,631596,567731,499867,546948,626780,718895,745520,728246,766035,842141,971075,1246821,1447518,1439168,1516705,1631873,1640576,1786172,1851892,1959271,2060768,2167693,2104071,2070126,2053501,2148789,2235140,2283800,2351421,2379382,2502266,2691249,2860578,3034510,3269109,3409074,3647808,3829372,3724835,4129474,4597223,4990553,5251389,5697134,6186537,6550200,7032458,7490915,7905250,8355120,8971160,9567530,9977198,10899046,11548191,12133514,12781025,14041999,14970581,15575579,16272212,17188128,17910334,18319858,18434325,19195399,20209086,21456211,22342023,24542346,25709919,26107920,26408223,28989462,30551489,32542965,34651082,36034466,35532577,37436702,40811859,42309871,43195599,46438822,49275917
11000,District of Columbia,2,Population (persons) 1/,483000,488000,504000,513000,529000,568000,608000,629000,616000,638000,658000,690000,764000,846000,888000,862000,865000,893000,873000,840000,807000,806000,808000,805000,810000,791000,785000,759000,763000,757000,761000,765000,778000,788000,798000,798000,797000,791000,791000,778000,762000,755087,750641,743775,733674,720755,710308,696305,681768,670046,655616,638284,636893,634174,632433,633382,634549,638269,636930,630432,624168,605321,600870,597565,595301,589239,580517,572377,567736,565230,570213,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,605126,620472,635342,649540,659836,672228
11000,District of Columbia,3,Per capita personal income (dollars) 2/,1323,1314,1253,1107,945,963,1031,1143,1210,1141,1164,1220,1271,1474,1630,1670,1753,1827,1879,2126,2295,2431,2550,2693,2598,2617,2616,2831,2929,3017,3090,3110,3216,3415,3585,3803,4102,4310,4612,4922,4888,5469,6124,6710,7158,7904,8710,9407,10315,11180,12058,13090,14086,15087,15776,17208,18199,19010,20067,22274,23985,25731,27081,28764,30086,31091,31755,33536,35596,37960,39182,42903,44752,45551,46452,51060,53870,57025,60325,62103,59998,61866,65776,66594,66502,70379,73302
12000,Florida,1,Personal income (thousands of dollars),749494,687690,592370,482112,448159,551596,610473,748592,838862,825084,920847,1017727,1285775,1832862,2639713,2934732,3055164,2970083,3037915,3185440,3315822,3785477,4287519,4850615,5407556,5696503,6514925,7551094,8355898,9080435,10006318,10479655,11106051,11986123,12880384,14111984,15452114,16977969,18785941,21611770,25165121,28474028,31975467,36785616,42791356,48155185,52615177,57334261,64182990,74169866,85170098,100174719,115826766,125266195,139241897,154951730,170340970,184230468,199396960,218709966,244145082,260093568,270301132,286472913,304269718,320445032,344347697,366382132,388030818,419558498,441185618,477315998,503630546,522698930,546581820,593212601,647093731,703750490,730814302,734691254,691355724,728063852,773315948,793103892,798885890,853317759,900636248
12000,Florida,2,Population (persons) 1/,1445000,1471000,1493000,1521000,1552000,1585000,1613000,1651000,1709000,1771000,1836000,1915000,2028000,2190000,2497000,2542000,2515000,2473000,2539000,2578000,2668000,2810000,2980000,3157000,3310000,3505000,3747000,4047000,4372000,4630000,4808000,5004000,5243000,5458000,5628000,5781000,5954000,6104000,6242000,6433000,6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18849890,19105533,19352021,19594467,19905569,20271272
12000,Florida,3,Per capita personal income (dollars) 2/,519,467,397,317,289,348,378,453,491,466,502,531,634,837,1057,1154,1215,1201,1197,1236,1243,1347,1439,1536,1634,1625,1739,1866,1911,1961,2081,2094,2118,2196,2289,2441,2595,2781,3010,3360,3789,4160,4464,4891,5398,5790,6160,6594,7221,8122,8993,10181,11364,11963,12953,14036,15007,15790,16620,17772,19319,19956,20217,20986,21847,22504,23686,24667,25551,27092,27995,29744,30790,31319,32144,34063,36268,38738,39788,39655,37065,38624,40476,40983,40771,42868,44429
13000,Georgia,1,Personal income (thousands of dollars),995413,881556,741667,578546,595313,714949,789623,893459,947972,891441,961081,1053207,1376240,1904455,2430791,2692792,2775721,2792797,2931390,3258984,3279292,3772678,4395508,4753832,4888897,4886104,5385323,5767024,5977944,6235156,6643742,6948546,7250291,7793948,8474340,9180245,10132571,11174136,12140274,13400376,14943824,16272040,17970425,20160391,22772857,24985794,27002936,29996838,33159873,37625620,42114161,46930712,53090574,57498742,63100546,71482946,78389015,85539433,92052320,100335299,108165689,115537974,121117611,131312440,139467777,150306669,162222883,175284284,186659726,204789162,218400986,236451759,248516259,254655443,264265063,279349989,296929387,317384082,332074930,335573645,330586251,336504092,359778107,365480928,371155912,392123784,411721423
13000,Georgia,2,Population (persons) 1/,2903000,2910000,2924000,2935000,2950000,2964000,2955000,2978000,3037000,3091000,3120000,3119000,3186000,3215000,3245000,3161000,3089000,3251000,3271000,3259000,3325000,3458000,3531000,3584000,3558000,3602000,3636000,3701000,3766000,3804000,3868000,3956000,4015000,4086000,4172000,4258000,4332000,4379000,4408000,4482000,4551000,4605421,4710272,4807151,4906940,4994870,5058535,5126155,5211771,5286148,5391265,5486174,5568346,5649788,5728248,5834943,5962639,6084645,6208479,6316139,6411117,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8045965,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9713454,9812280,9917639,9991562,10097132,10214860
13000,Georgia,3,Per capita personal income (dollars) 2/,343,303,254,197,202,241,267,300,312,288,308,338,432,592,749,852,899,859,896,1000,986,1091,1245,1326,1374,1356,1481,1558,1587,1639,1718,1756,1806,1907,2031,2156,2339,2552,2754,2990,3284,3533,3815,4194,4641,5002,5338,5852,6362,7118,7812,8554,9534,10177,11016,12251,13147,14058,14827,15886,16872,17741,18205,19262,19986,21001,22136,23368,24289,26043,27144,28740,29666,29930,30647,31856,33266,34665,35516,35306,34361,34643,36666,36852,37147,38835,40306
15000,Hawaii*,1,Personal income (thousands of dollars),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),790965,926770,1022518,1061261,1071414,1122694,1177852,1249297,1296804,1436756,1624793,1761303,1885302,2013717,2191059,2406434,2611648,2831058,3181535,3646550,4229452,4589275,5053789,5594397,6365247,6935988,7463349,8075045,8963468,10050552,11460741,12391045,13076982,14419849,15454096,16453428,17468188,18623163,20461349,22865408,24931086,26366349,28424752,29472164,30121287,30776621,30785523,31791726,32450676,33645376,35680722,37214473,38922238,40763715,43952173,47220711,50618308,53206947,56050035,55852773,56908597,59072082,61836090,62784498,65993420,69129101
15000,Hawaii*,2,Population (persons) 1/,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),499000,502000,495000,499000,504000,529000,548000,573000,605000,622000,642000,659000,684000,682000,700000,704000,710000,723000,734000,743000,762920,791580,818104,841851,858121,875052,892335,915749,928816,950050,967710,978195,993780,1012717,1027922,1039698,1051762,1067917,1079827,1094588,1113491,1136754,1158613,1172838,1187536,1196854,1203755,1211640,1215233,1210300,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363980,1378227,1392641,1408765,1420257,1431603
